Price,Close,High,Low,Open,Volume
Ticker,JBL,JBL,JBL,JBL,JBL
Date,,,,,
2008-04-08,7.839975833892822,7.943446924183727,7.712625339949602,7.839975833892821,3795100
2008-04-09,7.847928047180176,8.030993706974607,7.752415826051469,7.863847130233456,2834800
2008-04-10,7.991203784942627,8.046919106491382,7.824057061232037,7.89569147983148,2691400
2008-04-11,7.800178527832031,7.975284785545966,7.752421999704863,7.879771729291629,2770300
2008-04-14,7.919568061828613,7.951405491621388,7.784258795443272,7.784258795443272,2936500
2008-04-15,8.007121086120605,8.030998967276874,7.855892734314544,7.959364564743914,3448400
2008-04-16,8.182226181030273,8.19018572740174,7.999161168871257,7.999161168871257,2656800
2008-04-17,8.333456993103027,8.397131864798626,8.1344728292882,8.1344728292882,2513400
2008-04-18,8.500602722167969,8.60407456628047,8.42100876236935,8.428968310162064,2400300
2008-04-21,8.580196380615234,8.731424760487076,8.365293892197743,8.436928308025006,2949600
2008-04-22,8.245903968811035,8.564279105410836,8.118554217796872,8.564279105410836,3282300
2008-04-23,8.222024917602539,8.365293746766323,8.078756088438755,8.301618880263371,2417600
2008-04-24,8.580196380615234,8.651830796442496,8.229984608760535,8.261822042565509,2211900
2008-04-25,8.65182876586914,8.675706645852687,8.405088901556214,8.604073005902046,2132400
2008-04-28,8.635913848876953,8.643872639310807,8.49264499416572,8.604076409948282,2656400
2008-04-29,8.795095443725586,8.93040466278782,8.484680042512705,8.484680042512705,2750800
2008-04-30,8.65979290008545,8.866736660417128,8.564280570485717,8.818980116085003,2832700
2008-05-01,8.858770370483398,8.858770370483398,8.572233599668929,8.627948893116868,2368600
2008-05-02,8.866734504699707,8.898571940159167,8.739384003797527,8.858774956068757,2888100
2008-05-05,8.858770370483398,9.025917009891158,8.747339024523576,8.755298569034409,2529100
2008-05-06,8.818978309631348,8.890612731923891,8.691628562917654,8.842856197374074,2740200
2008-05-07,8.67570972442627,8.930409984532865,8.619994398339383,8.707547162056546,2442600
2008-05-08,8.771223068237305,8.834897945471399,8.651832104125068,8.707547431938798,2073500
2008-05-09,8.68366813659668,8.842855303904756,8.619993269673449,8.74734300351991,1501300
